
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
NEW       01-002764 O US AL ROBERTSDALE      30 34 48.25N 087 28 27.91W TOWER              1 00302 00372 D 1 A N 2024ASO19251OE C2024362 
OLD       01-002884 O US AL DOTHAN           31 12 59.19N 085 22 46.15W TOWER              1 00198 00516 N 1 A N 2004ASO00343OE C2005065 
NEW       01-002884 O US AL DOTHAN           31 12 59.19N 085 22 46.15W TOWER              1 00198 00516 N 1 A N 2023ASO06904OE C2024361 
OLD       01-003151 O US AL EUFAULA          31 51 24.81N 085 09 05.97W TOWER              1 00260 00505 D 5 D N 2005ASO03934OE C2009233 
NEW       01-003151 O US AL EUFAULA          31 51 24.81N 085 09 05.97W TOWER              1 00259 00504 D 4 D N 2024ASO17747OE C2024341 
OLD       01-003159 O US AL HEFLIN           33 28 26.20N 085 35 09.60W TOWER              1 00310 01390 D 2 C N 2010ASO04104OE C2011246 
NEW       01-003159 O US AL HEFLIN           33 28 26.20N 085 35 09.60W TOWER              1 00309 01389 D 2 C N 2024ASO19956OE C2024366 
OLD       01-003200 O US AL CARROLTON        33 17 07.42N 088 04 57.17W TOWER              1 00260 00504 D 2 C N 2017ASO13289OE C2018039 
NEW       01-003200 O US AL CARROLLTON       33 17 07.42N 088 04 57.17W TOWER              1 00260 00504 D 2 C N 2024ASO19952OE C2024366 
OLD       01-003211 O US AL PLANTERSVILLE    32 42 11.49N 086 49 04.04W TOWER              1 00260 00819 D 1 A N 2007ASO03119OE C2015097 
NEW       01-003211 O US AL PLANTERSVILLE    32 42 11.49N 086 49 04.00W TOWER              1 00260 00819 D 1 A N 2024ASO11895OE C2024330 
OLD       01-003245 O US AL HARTFORD         31 05 14.40N 085 47 24.20W TOWER              1 00212 00449 D 2 C N 2007ASO01116OE C2007154 
NEW       01-003245 O US AL HARTFORD         31 05 14.40N 085 47 24.20W TOWER              1 00211 00448 D 2 C N 2024ASO19953OE C2024338 
OLD       01-003264 O US AL DALEVILLE        31 17 14.07N 085 41 50.22W TOWER              1 00160 00401 N 1 A N 2021ASO38264OE C2022161 
NEW       01-003264 O US AL DALEVILLE        31 17 14.07N 085 41 50.22W TOWER              1 00160 00401 N 1 A N 2023ASO32628OE C2024361 
OLD       01-003266 O US AL FORT RUCKER      31 18 21.28N 085 45 16.63W TOWER              1 00153 00471 N 1 A N 1998ASO03575OE A2007127 
NEW       01-003266 O US AL LEVEL PLAINS     31 18 21.28N 085 45 16.63W TOWER              1 00160 00471 N 1 A N 2023ASO31231OE C2024361 
OLD       01-003273 O US AL FORT RUCKER      31 18 14.63N 085 43 33.62W TANK               1 00135 00461 N 1 A N 2007ASO01619OE A2007123 
NEW       01-003273 O US AL DALEVILLE        31 18 14.63N 085 43 33.62W TANK               1 00135 00461 N 1 A N 2024ASO07724OE C2024362 
OLD       01-006092 U US AL FORKVILLE        34 15 36.00N 087 33 25.00W TOWER              1 00106 01115 U 4 D U 0066_ME00048OE C2014124 
NEW       01-006092 U US AL HALEYVILLE       34 15 36.85N 087 33 24.75W TOWER              1 00130 01139 N 4 D N 2024ASO15325OE C2024330 
OLD       01-006102 O US AL SHEFFIELD        34 45 44.15N 087 41 51.90W BLDG-TWR           1 00141 00643 N 4 D N 2021ASO37889OE C2022098 
NEW       01-006102 O US AL SHEFFIELD        34 45 44.15N 087 41 51.90W BLDG-TWR           1 00143 00645 N 4 D N 2024ASO12816OE C2024330 
OLD       01-020006 O US AL ATHENS           34 50 13.91N 086 53 11.94W TOWER              1 00260 01011 D 1 A N 2006ASO03435OE C2008156 
NEW       01-020006 O US AL ATHENS           34 50 13.91N 086 53 11.94W TOWER              1 00260 01011 D 1 A N 2024ASO19954OE C2024366 
OLD       01-020098 O US AL ELKMONT          34 51 34.62N 087 03 10.12W TOWER              1 00308 01025 D 5 D N 2008ASO06649OE C2009134 
NEW       01-020098 O US AL ATHENS           34 51 34.62N 087 03 10.12W TOWER              1 00308 01025 D 4 D N 2024ASO17947OE C2024361 
OLD       01-020177 O US AL LETOHATCHEE      32 04 45.38N 086 24 31.43W TOWER              1 00420 00751 D 5 D N 2009ASO02476OE C2009308 
NEW       01-020177 O US AL LETOHATCHEE      32 04 45.38N 086 24 31.43W TOWER              1 00406 00737 D 4 D N 2024ASO18683OE C2024362 
OLD       01-020180 O US AL HAMILTON         34 09 20.60N 088 00 42.80W TOWER              1 00173 00879 R 2 C P 2009ASO01254OE A2009266 
NEW       01-020180 O US AL HAMILTON         34 09 20.60N 088 00 42.80W TOWER              1 00186 00892 R 2 C P 2022ASO22919OE C2024361 
OLD       01-020399 O US AL BREMAN           33 58 22.23N 087 00 10.96W TOWER              1 00306 00998 D 1 A N 2010ASO04354OE A2011208 
NEW       01-020399 O US AL BREMAN           33 58 22.23N 087 00 10.96W TOWER              1 00306 00998 D 1 A N 2024ASO13623OE C2024330 
OLD       01-020411 O US AL ATMORE           31 03 35.80N 087 35 21.70W TOWER              1 00260 00530 D 1 A N 2011ASO01151OE A2011230 
NEW       01-020411 O US AL ATMORE           31 03 35.80N 087 35 21.70W TOWER              1 00260 00530 D 1 A N 2024ASO19178OE C2024362 
OLD       01-020492 O US AL TROY             31 47 00.70N 085 56 16.80W TOWER              1 00305 00757 D 2 C N 2011ASO06935OE A2012069 
NEW       01-020492 O US AL TROY             31 47 00.70N 085 56 16.80W TOWER              1 00305 00757 D 2 C N 2024ASO13822OE C2024330 
OLD       01-020531 O US AL WATERLOO         34 54 58.00N 087 57 57.60W TOWER              1 00349 01151 D 5 E N 2012ASO03451OE A2012254 
NEW       01-020531 O US AL WATERLOO         34 54 58.00N 087 57 57.60W TOWER              1 00340 01142 D 4 D N 2024ASO17763OE C2024361 
OLD       01-021799 O US AL MARSHVILLE       31 48 22.88N 086 32 32.87W TOWER              1 00310 00682 D 1 A N 2012ASO10957OE A2013066 
NEW       01-021799 O US AL GREENVILLE       31 48 22.88N 086 32 32.87W TOWER              1 00309 00681 D 1 A N 2024ASO19482OE C2024366 
OLD       01-021896 O US AL HAYDEN           33 53 17.64N 086 53 52.64W TOWER              1 00310 00779 D 1 A N 2013ASO01233OE A2013295 
NEW       01-021896 O US AL HAYDEN           33 53 17.64N 086 53 52.64W TOWER              1 00305 00773 D 1 A N 2024ASO13149OE C2024337 
OLD       01-021980 O US AL BOAZ             34 12 59.90N 086 10 37.80W TOWER              1 00260 01268 D 2 C N 2013ASO03789OE A2014206 
NEW       01-021980 O US AL BOAZ             34 12 59.90N 086 10 37.80W TOWER              1 00262 01270 D 2 C N 2024ASO17300OE C2024338 
OLD       01-021981 O US AL BREWTON          31 07 20.50N 087 16 31.80W TOWER              1 00250 00526 D 1 A N 2013ASO00121OE A2014210 
NEW       01-021981 O US AL BREWTON          31 07 20.50N 087 16 31.80W TOWER              1 00250 00525 D 1 A N 2024ASO17525OE C2024338 
OLD       01-022056 O US AL ENTERPRISE       31 20 38.28N 085 49 57.55W TOWER              1 00257 00625 D 2 C N 2015ASO06013OE C2017179 
NEW       01-022056 O US AL ENTERPRISE       31 20 38.28N 085 49 57.55W TOWER              1 00257 00625 D 2 C N 2024ASO15958OE C2024331 
OLD       01-022106 O US AL PANSEY           31 05 28.10N 085 11 23.50W TOWER              1 00310 00479 D 2 C N 2014ASO08788OE A2015142 
NEW       01-022106 O US AL PANSEY           31 05 28.10N 085 11 23.50W TOWER              1 00310 00479 D 2 C N 2024ASO17683OE C2024338 
OLD       01-022189 O US AL SHORTER          32 24 25.11N 085 56 39.65W TOWER              1 00360 00604 D 1 A N 2013ASO06147OE A2015264 
NEW       01-022189 O US AL SHORTER          32 24 25.11N 085 56 39.65W TOWER              1 00360 00603 D 1 A N 2024ASO13843OE C2024330 
OLD       01-022360 O US AL SALEM            32 30 54.88N 085 14 31.49W TOWER              1 00257 00799 D 2 C N 2014ASO04127OE A2015348 
NEW       01-022360 O US AL SALEM            32 30 54.88N 085 14 31.49W TOWER              1 00260 00802 D 2 C N 2024ASO18951OE C2024362 
OLD       01-022401 O US AL GILBERTOWN       31 52 35.15N 088 19 14.62W TOWER              1 00349 00478 D 4 D N 2016ASO02120OE C2017241 
NEW       01-022401 O US AL GILBERTOWN       31 52 35.15N 088 19 14.62W TOWER              1 00349 00478 D 4 D N 2024ASO14696OE C2024331 
OLD       01-022417 O US AL BIRMINGHAM       33 35 33.49N 086 44 59.68W TOWER              1 00110 00883 R 1 A P 2015ASO09420OE A2016196 
NEW       01-022417 O US AL TARRANT          33 35 33.49N 086 44 59.68W TOWER              1 00110 00883 R 1 A P 2024ASO04847OE C2024334 
OLD       01-022445 U US AL NEW MARKET       34 49 39.06N 086 28 14.82W TOWER              1 00199 00915 N 4 D N 2015ASO18067OE A2016273 
NEW       01-022445 O US AL NEW MARKET       34 49 39.06N 086 28 14.82W TOWER              1 00199 00915 N 1 A N 2024ASO13774OE C2024330 
OLD       01-022511 O US AL BIRMINGHAM       33 45 30.59N 086 57 17.85W TOWER              1 00191 00619 N 4 D N 2021ASO39301OE C2022188 
NEW       01-022511 O US AL WARRIOR          33 45 30.59N 086 57 17.85W TOWER              1 00194 00622 N 4 D N 2023ASO32681OE C2024361 
OLD       01-047148 U US AL HARTSELLE        34 27 04.55N 086 56 15.47W ANTENNA            1 00199 00880 N 4 D N 2012ASO11571OE A2018023 
NEW       01-047148 O US AL HARTSELLE        34 27 04.55N 086 56 15.47W TOWER              1 00196 00877 N 2 C N 2024ASO12638OE C2024337 
OLD       01-047732 U US AL OXFORD           33 35 18.19N 085 55 46.55W TOWER              1 00199 00862 N 4 D N 2013ASO09070OE A2018024 
NEW       01-047732 O US AL OXFORD           33 35 18.19N 085 55 46.55W TOWER              1 00196 00859 N 1 A N 2024ASO17094OE C2024331 
OLD       01-049024 U US AL ATHENS           34 47 17.66N 086 53 12.44W TOWER              1 00199 00901 N 4 D N 2016ASO22409OE A2018024 
NEW       01-049024 U US AL ATHENS           34 47 17.66N 086 53 12.44W TOWER              1 00199 00901 N 4 D N 2024ASO13434OE C2024330 
OLD       01-054744 U US AL ARDMORE          34 59 31.89N 086 52 51.80W TOWER              1 00162 01070 N 4 D N 2018ASO23912OE A2019024 
NEW       01-054744 U US AL ARDMORE          34 59 31.89N 086 52 51.80W TOWER              1 00162 01070 N 4 D N 2024ASO12787OE C2024330 
OLD       01-057929 U US AL GREENVILLE       31 51 19.83N 086 38 14.73W TOWER              1 00130 00599 N 4 D N 2019ASO05266OE A2020045 
NEW       01-057929 O US AL GREENVILLE       31 51 19.83N 086 38 14.73W TOWER              1 00130 00599 N 1 A N 2024ASO08232OE C2024330 
OLD       01-067181 O US AL JOPPA            34 17 43.73N 086 34 10.55W TOWER              1 00336 01382 D 1 A N 2021ASO33630OE A2022361 
NEW       01-067181 O US AL JOPPA            34 17 43.73N 086 34 10.55W TOWER              1 00336 01382 D 1 A N 2024ASO18080OE C2024362 
OLD       01-069750 U US AL HAMILTON         34 10 51.83N 087 56 25.26W TOWER              1 00330 01061 D 1 A N 2022ASO08339OE A2023177 
NEW       01-069750 O US AL HAMILTON         34 10 51.83N 087 56 25.26W TOWER              1 00324 01055 D 1 A N 2022ASO08339OE C2024331 
OLD       01-069764 O US AL FULTONDALE       33 36 31.00N 086 47 57.43W TOWER              1 00197 00862 N 1 A N 2022ASO08815OE A2023171 
NEW       01-069764 O US AL FULTONDALE       33 36 31.00N 086 47 57.43W TOWER              1 00193 00858 N 1 A N 2024ASO14219OE C2024330 
ADD       01-071244 O US AL PRATTVILLE       32 25 54.55N 086 28 44.86W TOWER              1 00199 00400 D 1 A N 2022ASO28899OE A2024361 
ADD       01-071253 U US AL GULF SHORES      30 16 53.99N 087 41 31.52W BLDG               1 00075 00088 N 4 D N 2021ASO18216OE A2024361 
ADD       01-071294 U US AL MONTGOMERY       32 22 41.60N 086 20 04.40W BLDG               1 00042 00209 N 4 D N 2019ASO15026OE A2024361 
ADD       01-071303 U US AL MUSCLE SHOALS    34 45 25.58N 087 38 08.93W UTILITY POLE       1 00048 00563 N 4 D N 2022ASO17379OE A2024361 
ADD       01-071304 U US AL MUSCLE SHOALS    34 45 05.36N 087 38 08.26W T-L TWR            1 00057 00583 N 4 D N 2022ASO17380OE A2024361 
ADD       01-071305 U US AL MUSCLE SHOALS    34 45 01.69N 087 38 07.79W T-L TWR            1 00057 00591 N 4 D N 2022ASO17381OE A2024361 
ADD       01-071306 U US AL MUSCLE SHOALS    34 44 40.95N 087 38 05.52W T-L TWR            1 00057 00588 N 4 D N 2022ASO17382OE A2024361 
ADD       01-071307 U US AL MUSCLE SHOALS    34 44 05.44N 087 38 03.37W T-L TWR            1 00052 00576 N 4 D N 2022ASO17383OE A2024361 
ADD       01-071308 U US AL MUSCLE SHOALS    34 44 00.80N 087 38 03.08W UTILITY POLE       1 00045 00572 U 4 D U 2022ASO17384OE A2024361 
ADD       01-071309 U US AL MUSCLE SHOALS    34 43 55.83N 087 38 02.78W T-L TWR            1 00065 00599 N 4 D N 2022ASO17385OE A2024361 
ADD       01-071310 U US AL MUSCLE SHOALS    34 43 21.16N 087 38 00.67W T-L TWR            1 00052 00569 N 4 D N 2022ASO17386OE A2024361 
ADD       01-071311 U US AL MUSCLE SHOALS    34 43 11.46N 087 38 00.08W T-L TWR            1 00057 00573 N 4 D N 2022ASO17387OE A2024361 
ADD       01-071312 U US AL MUSCLE SHOALS    34 43 06.35N 087 37 59.79W UTILITY POLE       1 00048 00564 N 4 D N 2022ASO17388OE A2024361 
